epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.005,97.63779527559055,100.0,98.4251968503937,62.5,0,62.5,0.0,0.0,0.151,0.529,0,5.618
0.030513,88.9763779527559,100.0,96.8503937007874,59.5,0,59.5,0.0,0.0,0.145,1.296,0,4.289
0.056026,77.95275590551181,100.0,93.7007874015748,52.5,0,57.49999999999999,0.0,0.0,0.152,2.762,0,5.475
0.081538,70.07874015748031,100.0,90.5511811023622,42.0,0,54.50000000000001,0.0,0.0,0.145,3.561,0,5.014
0.107051,65.35433070866141,96.8503937007874,88.9763779527559,31.0,0,50.5,0.0,0.001,0.148,3.768,0,4.956
0.132564,56.69291338582677,96.8503937007874,85.8267716535433,21.5,0,47.0,0.0,0.001,0.149,3.786,0,4.589
0.158077,49.60629921259843,96.8503937007874,83.46456692913385,11.5,0,43.5,0.0,0.001,0.151,3.768,0,4.314
0.18359,47.24409448818898,96.8503937007874,82.67716535433071,5.0,0,40.0,0.0,0.001,0.148,3.778,0,4.42
0.209103,44.881889763779526,92.1259842519685,80.31496062992126,1.5,0,36.0,0.0,0.001,0.149,3.756,0,4.096
0.234615,40.94488188976378,91.33858267716536,77.95275590551181,0.5,0,33.0,0.0,0.001,0.148,3.762,0,4.258
0.260128,34.645669291338585,91.33858267716536,77.16535433070865,0.0,0,31.5,0.0,0.001,0.149,3.768,0,4.21
0.285641,30.708661417322837,91.33858267716536,74.01574803149606,0.0,0,28.999999999999996,0.0,0.001,0.144,3.727,0,4.252
0.311154,25.984251968503933,85.03937007874016,70.86614173228347,0.0,0,27.0,0.0,0.001,0.147,3.735,0,4.309
0.336667,20.47244094488189,84.25196850393701,69.29133858267717,0.0,0,26.0,0.0,0.001,0.147,3.705,0,4.209
0.362179,18.11023622047244,82.67716535433071,66.92913385826772,0.0,0,25.0,0.0,0.001,0.144,3.706,0,4.088
0.387692,14.960629921259844,82.67716535433071,63.77952755905512,0.0,0,22.5,0.0,0.001,0.145,3.708,0,4.023
0.4,13.385826771653544,75.59055118110236,62.20472440944882,0.0,0,21.5,0.0,0.001,0.151,3.694,0,3.94
0.413205,12.598425196850393,74.80314960629921,60.629921259842526,0.0,0,21.5,0.0,0.001,0.145,3.704,0,3.963
0.431579,12.598425196850393,74.01574803149606,59.84251968503938,0.0,0,21.0,0.0,0.001,0.147,3.704,0,4.006
0.438718,12.598425196850393,74.80314960629921,59.84251968503938,0.0,0,20.5,0.0,0.001,0.144,3.7,0,4.028
0.463158,11.811023622047244,72.44094488188976,55.90551181102362,0.0,0,19.0,0.0,0.001,0.147,3.722,0,4.169
0.494737,7.086614173228346,71.65354330708661,53.54330708661418,0.0,0,18.5,0.0,0.001,0.152,3.707,0,4.114
0.526316,4.724409448818897,66.92913385826772,51.181102362204726,0.0,0,16.0,0.0,0.001,0.145,3.697,0,4.298
0.557895,2.3622047244094486,63.77952755905512,50.39370078740157,0.0,0,15.0,0.0,0.001,0.146,3.712,0,4.553
0.589474,1.574803149606299,60.629921259842526,48.818897637795274,0.0,0,14.000000000000002,0.0,0.001,0.144,3.706,0,4.459
0.621053,1.574803149606299,54.330708661417326,45.66929133858268,0.0,0,12.5,0.0,0.001,0.144,3.706,0,4.477
0.652632,0.7874015748031495,51.181102362204726,44.09448818897638,0.0,0,11.0,0.0,0.001,0.147,3.7,0,4.693
0.684211,0.0,51.181102362204726,42.51968503937008,0.0,0,10.5,0.0,0.001,0.148,3.692,0,4.418
0.715789,0.0,47.24409448818898,40.94488188976378,0.0,0,9.0,0.0,0.001,0.151,3.709,0,4.733
0.747368,0.0,46.45669291338583,40.15748031496063,0.0,0,8.0,0.0,0.001,0.149,3.707,0,4.666
0.778947,0.0,44.09448818897638,39.37007874015748,0.0,0,7.5,0.0,0.001,0.146,3.696,0,4.831
0.810526,0.0,43.30708661417323,38.582677165354326,0.0,0,7.000000000000001,0.0,0.001,0.149,3.719,0,5.07
0.842105,0.0,40.94488188976378,35.43307086614173,0.0,0,5.5,0.0,0.001,0.151,3.705,0,5.122
0.873684,0.0,40.15748031496063,33.85826771653544,0.0,0,5.0,0.0,0.001,0.145,3.699,0,5.154
0.905263,0.0,40.15748031496063,33.07086614173229,0.0,0,3.5000000000000004,0.0,0.001,0.142,3.691,0,5.227
0.936842,0.0,37.00787401574803,32.28346456692913,0.0,0,3.0,0.0,0.001,0.146,3.697,0,5.349
0.968421,0.0,36.22047244094488,30.708661417322837,0.0,0,1.5,0.0,0.001,0.147,3.698,0,5.674
1.0,0.0,35.43307086614173,28.346456692913385,0.0,0,1.5,0.0,0.001,0.148,3.717,0,5.479
