epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
5e-05,97.63779527559055,100.0,99.21259842519686,63.0,99.21259842519686,0,0.0,0.0,0.065,0.417,0.152,0
0.001331,66.92913385826772,100.0,93.7007874015748,59.5,93.7007874015748,0,0.0,0.0,0.062,1.65,0.157,0
0.002612,44.881889763779526,99.21259842519686,88.9763779527559,55.00000000000001,88.18897637795276,0,0.0,0.0,0.063,2.36,0.784,0
0.003892,27.559055118110237,100.0,83.46456692913385,50.5,82.67716535433071,0,0.0,0.0,0.061,2.706,0.917,0
0.005173,13.385826771653544,100.0,80.31496062992126,44.0,77.16535433070865,0,0.0,0.0,0.061,2.39,2.136,0
0.006454,7.086614173228346,99.21259842519686,76.37795275590551,38.5,70.86614173228347,0,0.0,0.0,0.063,2.028,4.217,0
0.007735,1.574803149606299,100.0,70.07874015748031,32.5,66.14173228346458,0,0.0,0.0,0.061,1.995,4.222,0
0.009015,0.0,98.4251968503937,67.71653543307087,27.0,55.118110236220474,0,0.0,0.0,0.064,2.021,10.409,0
0.010296,0.0,100.0,60.629921259842526,24.0,48.818897637795274,0,0.0,0.0,0.063,2.044,9.632,0
0.011577,0.0,99.21259842519686,54.330708661417326,18.5,45.66929133858268,0,0.0,0.0,0.062,2.033,7.874,0
0.012858,0.0,100.0,52.75590551181102,14.000000000000002,41.732283464566926,0,0.0,0.0,0.064,2.015,8.775,0
0.014138,0.0,98.4251968503937,49.60629921259843,10.0,37.79527559055118,0,0.0,0.0,0.063,2.026,9.644,0
0.015419,0.0,99.21259842519686,44.09448818897638,6.0,35.43307086614173,0,0.0,0.0,0.064,2.044,8.954,0
0.0167,0.0,98.4251968503937,41.732283464566926,4.0,28.346456692913385,0,0.0,0.0,0.061,2.01,11.935,0
0.017981,0.0,99.21259842519686,40.15748031496063,2.5,23.62204724409449,0,0.0,0.0,0.064,2.03,13.911,0
0.019262,0.0,98.4251968503937,39.37007874015748,1.0,19.68503937007874,0,0.0,0.0,0.062,2.008,16.841,0
0.020542,0.0,100.0,36.22047244094488,1.0,15.748031496062993,0,0.0,0.0,0.063,2.026,16.672,0
0.021823,0.0,98.4251968503937,34.645669291338585,0.5,12.598425196850393,0,0.0,0.0,0.065,2.056,18.277,0
0.023104,0.0,99.21259842519686,31.496062992125985,0.0,11.811023622047244,0,0.0,0.0,0.062,2.004,16.999,0
0.024385,0.0,98.4251968503937,29.92125984251969,0.0,7.874015748031496,0,0.0,0.0,0.063,2.061,17.268,0
0.025665,0.0,99.21259842519686,26.77165354330709,0.0,7.874015748031496,0,0.0,0.0,0.065,2.049,15.915,0
0.026946,0.0,100.0,25.196850393700785,0.0,3.149606299212598,0,0.0,0.0,0.065,2.043,17.306,0
0.028227,0.0,97.63779527559055,25.196850393700785,0.0,3.149606299212598,0,0.0,0.0,0.065,2.04,17.549,0
0.029508,0.0,97.63779527559055,25.196850393700785,0.0,2.3622047244094486,0,0.0,0.0,0.065,2.032,18.306,0
0.030788,0.0,98.4251968503937,22.83464566929134,0.0,1.574803149606299,0,0.0,0.0,0.064,2.009,17.041,0
0.032069,0.0,99.21259842519686,20.47244094488189,0.0,0.0,0,0.0,0.0,0.065,2.008,15.821,0
