epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0,99.5,0,99.5,99.5,0,95.5,0.0,0,0.106,0.107,0,5.169
0.2,61.5,0,97.5,0.0,0,88.0,0.0,0,0.101,2.761,0,9.369
0.41,2.5,0,92.5,0.0,0,34.5,0.0,0,0.102,2.762,0,9.346
0.61,0.0,0,83.5,0.0,0,3.0,0.0,0,0.103,2.769,0,8.576
0.81,0.0,0,69.5,0.0,0,0.0,0.0,0,0.102,2.762,0,6.925
1.0,0.0,0,57.99999999999999,0.0,0,0.0,0.0,0,0.107,2.768,0,6.161
1.21,0.0,0,30.5,0.0,0,0.0,0.0,0,0.101,2.765,0,5.655
1.4,0.0,0,19.0,0.0,0,0.0,0.0,0,0.105,2.766,0,5.407
1.61,0.0,0,6.5,0.0,0,0.0,0.0,0,0.103,2.763,0,5.191
1.81,0.0,0,2.5,0.0,0,0.0,0.0,0,0.104,2.768,0,4.996
