epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0,92.5,0,92.5,92.5,0,92.5,0.0,0,0.112,0.089,0,5.079
0.2,90.0,0,91.0,37.0,0,89.5,0.0,0,0.115,2.475,0,4.787
0.41,84.0,0,87.0,0.0,0,82.0,0.0,0,0.114,2.586,0,7.592
0.61,79.0,0,82.0,0.0,0,76.5,0.0,0,0.114,2.607,0,7.678
0.81,74.5,0,77.5,0.0,0,72.5,0.0,0,0.115,2.641,0,7.728
1.0,72.0,0,75.0,0.0,0,67.0,0.0,0,0.117,2.668,0,7.547
1.21,65.5,0,71.0,0.0,0,61.5,0.0,0,0.113,2.702,0,7.829
1.4,61.5,0,65.0,0.0,0,54.50000000000001,0.0,0,0.112,2.731,0,8.079
1.61,55.50000000000001,0,62.0,0.0,0,44.5,0.0,0,0.117,2.738,0,8.252
1.81,46.0,0,56.49999999999999,0.0,0,32.5,0.0,0,0.117,2.739,0,8.373
