epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0,98.0,0,98.0,98.0,0,97.5,0.0,0,0.091,0.05,0,3.053
0.05,97.5,0,97.5,97.5,0,97.5,0.0,0,0.095,0.289,0,4.878
0.07,97.5,0,97.5,96.0,0,97.0,0.0,0,0.094,0.318,0,4.78
0.09,96.5,0,97.5,95.0,0,95.5,0.0,0,0.095,0.318,0,4.755
0.11,95.5,0,97.0,93.5,0,95.0,0.0,0,0.098,0.346,0,4.767
0.13,95.0,0,96.0,91.0,0,94.5,0.0,0,0.092,0.359,0,4.513
0.15,94.0,0,95.5,85.0,0,93.5,0.0,0,0.092,0.359,0,4.707
0.17,93.0,0,94.5,78.0,0,93.0,0.0,0,0.095,0.359,0,4.86
0.19,93.0,0,94.5,70.0,0,91.5,0.0,0,0.095,0.363,0,4.839
0.2,92.5,0,94.0,66.0,0,91.0,0.0,0,0.094,0.364,0,4.816
0.21,91.5,0,94.0,63.0,0,90.0,0.0,0,0.091,0.364,0,4.832
0.23,90.5,0,93.5,53.0,0,87.0,0.0,0,0.098,0.368,0,4.908
0.25,88.0,0,92.5,44.5,0,85.0,0.0,0,0.094,0.36,0,4.906
0.27,86.0,0,92.0,36.5,0,81.5,0.0,0,0.092,0.376,0,4.863
0.29,85.0,0,90.5,30.0,0,77.5,0.0,0,0.095,0.368,0,4.867
0.31,80.5,0,90.5,24.5,0,75.0,0.0,0,0.094,0.372,0,4.858
0.33,78.5,0,89.0,19.0,0,72.5,0.0,0,0.092,0.366,0,4.876
0.35,75.0,0,88.0,15.0,0,70.0,0.0,0,0.098,0.373,0,4.902
0.37,73.0,0,85.0,13.0,0,67.0,0.0,0,0.09,0.367,0,4.799
0.39,71.0,0,84.0,9.5,0,64.0,0.0,0,0.092,0.371,0,4.854
0.41,69.5,0,80.5,5.0,0,58.5,0.0,0,0.095,0.374,0,4.863
0.41,69.5,0,80.5,5.0,0,58.5,0.0,0,0.095,0.375,0,4.934
0.43,65.5,0,78.0,3.0,0,55.00000000000001,0.0,0,0.093,0.373,0,4.85
0.45,64.5,0,77.0,2.0,0,51.0,0.0,0,0.094,0.371,0,4.852
0.47,59.5,0,75.0,0.5,0,47.5,0.0,0,0.097,0.373,0,4.838
0.49,54.50000000000001,0,72.5,0.0,0,43.5,0.0,0,0.095,0.371,0,4.809
0.51,52.5,0,71.5,0.0,0,41.0,0.0,0,0.092,0.37,0,4.785
0.53,48.0,0,69.5,0.0,0,38.0,0.0,0,0.092,0.372,0,4.763
0.55,46.5,0,67.5,0.0,0,35.5,0.0,0,0.093,0.37,0,4.774
