epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.005,92.5,0,97.5,97.0,97.5,0,0.0,0,0.044,0.356,0.379,0
0.005,92.5,0,97.5,97.0,97.5,0,0.0,0,0.043,0.358,0.382,0
0.009,74.0,0,95.0,93.0,95.0,0,0.0,0,0.044,0.369,0.404,0
0.013,51.5,0,94.0,79.5,94.0,0,0.0,0,0.042,0.373,0.99,0
0.017,32.5,0,91.0,60.0,91.0,0,0.0,0,0.042,0.372,3.053,0
0.021,16.5,0,88.5,37.0,85.5,0,0.0,0,0.043,0.381,10.598,0
0.025,7.5,0,79.5,21.0,76.5,0,0.0,0,0.043,0.372,14.528,0
0.029,3.0,0,74.0,12.0,66.0,0,0.0,0,0.043,0.376,21.584,0
0.033,1.5,0,66.0,2.5,53.5,0,0.0,0,0.043,0.376,29.483,0
0.037,0.5,0,56.49999999999999,0.5,41.5,0,0.0,0,0.042,0.375,31.572,0
0.041,0.0,0,50.0,0.0,30.5,0,0.0,0,0.043,0.375,34.379,0
0.045,0.0,0,43.5,0.0,21.5,0,0.0,0,0.043,0.37,34.135,0
0.049,0.0,0,37.5,0.0,14.499999999999998,0,0.0,0,0.042,0.377,34.385,0
0.053,0.0,0,31.0,0.0,11.5,0,0.0,0,0.043,0.376,30.787,0
0.057,0.0,0,28.499999999999996,0.0,3.5000000000000004,0,0.0,0,0.043,0.374,30.371,0
0.061,0.0,0,22.0,0.0,2.0,0,0.0,0,0.042,0.375,22.145,0
0.065,0.0,0,16.0,0.0,1.0,0,0.0,0,0.044,0.374,17.849,0
0.069,0.0,0,13.5,0.0,0.0,0,0.0,0,0.042,0.373,13.908,0
0.073,0.0,0,10.0,0.0,0.0,0,0.0,0,0.043,0.37,10.274,0
0.077,0.0,0,8.0,0.0,0.0,0,0.0,0,0.042,0.37,8.476,0
0.081,0.0,0,7.000000000000001,0.0,0.0,0,0.0,0,0.043,0.374,6.059,0
0.085,0.0,0,5.0,0.0,0.0,0,0.0,0,0.043,0.379,4.841,0
0.089,0.0,0,3.0,0.0,0.0,0,0.0,0,0.043,0.375,3.038,0
0.093,0.0,0,2.0,0.0,0.0,0,0.0,0,0.042,0.377,2.429,0
0.097,0.0,0,1.5,0.0,0.0,0,0.0,0,0.041,0.374,0.617,0
0.101,0.0,0,1.5,0.0,0.0,0,0.0,0,0.041,0.374,0.618,0
0.105,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.371,0.014,0
0.105,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.369,0.014,0
0.109,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.38,0.014,0
0.113,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.373,0.015,0
0.117,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.373,0.014,0
0.121,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.374,0.015,0
0.125,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.375,0.014,0
0.129,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.379,0.015,0
0.133,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.37,0.015,0
0.137,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.373,0.014,0
0.141,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.37,0.014,0
0.145,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.373,0.015,0
0.149,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.373,0.014,0
0.153,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.376,0.015,0
0.157,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.373,0.015,0
