epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0,98.0,0,98.0,98.0,0,98.0,0.0,0,0.091,0.05,0,3.051
0.05,97.0,0,97.5,96.0,0,96.5,0.0,0,0.094,0.285,0,4.908
0.07,95.5,0,96.5,95.0,0,95.5,0.0,0,0.093,0.34,0,4.822
0.09,95.5,0,95.5,95.0,0,95.0,0.0,0,0.091,0.352,0,4.801
0.11,95.0,0,95.5,93.5,0,95.0,0.0,0,0.095,0.36,0,4.779
0.13,95.0,0,95.0,91.0,0,94.5,0.0,0,0.093,0.363,0,4.765
0.15,94.5,0,95.0,87.0,0,93.5,0.0,0,0.094,0.364,0,4.829
0.17,93.5,0,95.0,77.5,0,93.5,0.0,0,0.096,0.37,0,4.913
0.19,93.5,0,95.0,70.0,0,92.0,0.0,0,0.097,0.361,0,4.861
0.2,93.5,0,94.5,65.0,0,91.5,0.0,0,0.092,0.367,0,4.828
0.21,92.5,0,94.5,59.5,0,91.5,0.0,0,0.095,0.378,0,4.874
0.23,91.5,0,94.5,50.5,0,89.5,0.0,0,0.094,0.371,0,4.899
0.25,89.5,0,93.5,41.0,0,88.0,0.0,0,0.093,0.363,0,4.872
0.27,89.5,0,93.0,35.5,0,87.0,0.0,0,0.099,0.38,0,4.951
0.29,88.0,0,92.5,31.0,0,82.5,0.0,0,0.099,0.375,0,4.923
0.31,86.5,0,91.5,26.0,0,76.5,0.0,0,0.097,0.374,0,4.899
0.33,82.0,0,90.5,20.5,0,73.5,0.0,0,0.092,0.37,0,4.849
0.35,78.5,0,90.5,12.5,0,69.5,0.0,0,0.093,0.367,0,4.879
0.37,74.0,0,88.0,9.5,0,67.5,0.0,0,0.097,0.374,0,4.892
0.39,71.0,0,87.5,6.0,0,65.5,0.0,0,0.093,0.377,0,4.899
0.41,69.0,0,85.5,4.0,0,59.5,0.0,0,0.095,0.371,0,4.822
0.41,69.0,0,85.5,4.0,0,59.5,0.0,0,0.097,0.372,0,4.871
0.43,65.5,0,85.0,3.0,0,56.99999999999999,0.0,0,0.094,0.377,0,4.903
0.45,63.0,0,81.5,2.0,0,54.0,0.0,0,0.095,0.377,0,4.905
0.47,59.5,0,78.5,2.0,0,50.0,0.0,0,0.097,0.374,0,4.869
0.49,56.00000000000001,0,74.0,2.0,0,46.0,0.0,0,0.096,0.372,0,4.836
0.51,53.0,0,71.5,1.5,0,41.5,0.0,0,0.093,0.37,0,4.783
0.53,49.5,0,69.5,0.5,0,40.5,0.0,0,0.098,0.375,0,4.864
0.55,46.0,0,68.0,0.5,0,38.0,0.0,0,0.095,0.371,0,4.766
0.57,43.5,0,67.0,0.0,0,35.0,0.0,0,0.094,0.373,0,4.828
0.59,41.0,0,63.0,0.0,0,33.5,0.0,0,0.093,0.373,0,4.805
0.61,39.0,0,62.0,0.0,0,31.5,0.0,0,0.096,0.374,0,4.82
0.61,39.0,0,62.0,0.0,0,31.5,0.0,0,0.094,0.376,0,4.853
0.63,37.0,0,58.5,0.0,0,28.999999999999996,0.0,0,0.095,0.379,0,4.873
0.65,34.5,0,54.0,0.0,0,27.500000000000004,0.0,0,0.095,0.374,0,4.77
0.67,34.0,0,53.5,0.0,0,26.5,0.0,0,0.092,0.375,0,4.767
0.69,31.0,0,51.5,0.0,0,24.0,0.0,0,0.096,0.378,0,4.876
0.71,28.999999999999996,0,48.5,0.0,0,21.0,0.0,0,0.097,0.378,0,4.846
0.73,28.000000000000004,0,47.5,0.0,0,20.0,0.0,0,0.095,0.374,0,4.709
0.75,25.5,0,43.0,0.0,0,17.5,0.0,0,0.091,0.374,0,4.708
0.77,24.5,0,41.5,0.0,0,16.0,0.0,0,0.093,0.373,0,4.69
0.79,22.0,0,39.5,0.0,0,14.499999999999998,0.0,0,0.093,0.374,0,4.629
0.81,20.5,0,39.0,0.0,0,14.499999999999998,0.0,0,0.093,0.37,0,4.574
0.81,20.5,0,39.0,0.0,0,14.499999999999998,0.0,0,0.094,0.373,0,4.637
0.83,18.0,0,38.0,0.0,0,13.5,0.0,0,0.094,0.375,0,4.572
0.85,17.0,0,35.0,0.0,0,11.5,0.0,0,0.093,0.376,0,4.665
0.87,15.5,0,34.5,0.0,0,9.5,0.0,0,0.091,0.366,0,4.535
0.89,14.499999999999998,0,32.0,0.0,0,7.5,0.0,0,0.092,0.376,0,4.624
0.91,13.5,0,30.0,0.0,0,6.0,0.0,0,0.093,0.378,0,4.611
0.93,13.0,0,29.5,0.0,0,4.5,0.0,0,0.093,0.372,0,4.531
0.95,9.5,0,26.5,0.0,0,4.0,0.0,0,0.094,0.381,0,4.603
0.97,8.0,0,26.5,0.0,0,3.5000000000000004,0.0,0,0.095,0.38,0,4.556
0.99,6.0,0,25.0,0.0,0,3.0,0.0,0,0.094,0.376,0,4.484
1.0,6.0,0,24.5,0.0,0,3.0,0.0,0,0.094,0.375,0,4.41
1.01,6.0,0,24.5,0.0,0,3.0,0.0,0,0.098,0.381,0,4.402
1.03,4.5,0,23.0,0.0,0,3.0,0.0,0,0.095,0.376,0,4.342
1.05,3.5000000000000004,0,21.5,0.0,0,3.0,0.0,0,0.091,0.371,0,4.259
1.07,3.5000000000000004,0,21.0,0.0,0,3.0,0.0,0,0.096,0.371,0,4.288
1.09,3.5000000000000004,0,18.5,0.0,0,3.0,0.0,0,0.094,0.37,0,4.216
1.11,3.0,0,16.0,0.0,0,2.5,0.0,0,0.091,0.376,0,4.147
1.13,3.0,0,15.0,0.0,0,2.0,0.0,0,0.091,0.374,0,4.03
1.15,3.0,0,14.000000000000002,0.0,0,2.0,0.0,0,0.095,0.376,0,3.973
1.17,3.0,0,13.0,0.0,0,1.5,0.0,0,0.093,0.379,0,3.954
1.19,3.0,0,12.0,0.0,0,1.5,0.0,0,0.094,0.379,0,4.0
1.21,3.0,0,11.0,0.0,0,1.5,0.0,0,0.096,0.379,0,3.882
1.21,3.0,0,11.0,0.0,0,1.5,0.0,0,0.094,0.378,0,3.889
1.23,3.0,0,10.0,0.0,0,1.5,0.0,0,0.093,0.371,0,3.774
1.25,2.5,0,8.0,0.0,0,1.5,0.0,0,0.097,0.377,0,3.728
1.27,2.0,0,6.0,0.0,0,1.0,0.0,0,0.093,0.374,0,3.683
1.29,2.0,0,5.0,0.0,0,1.0,0.0,0,0.095,0.373,0,3.505
1.31,2.0,0,5.0,0.0,0,1.0,0.0,0,0.093,0.376,0,3.388
1.33,1.5,0,4.0,0.0,0,1.0,0.0,0,0.09,0.371,0,3.277
1.35,1.5,0,3.5000000000000004,0.0,0,1.0,0.0,0,0.09,0.371,0,3.394
1.37,1.5,0,3.5000000000000004,0.0,0,1.0,0.0,0,0.089,0.368,0,3.233
1.39,1.5,0,3.0,0.0,0,1.0,0.0,0,0.093,0.38,0,3.28
1.4,1.5,0,3.0,0.0,0,1.0,0.0,0,0.094,0.377,0,3.197
1.41,1.5,0,3.0,0.0,0,1.0,0.0,0,0.092,0.374,0,3.138
1.43,1.5,0,3.0,0.0,0,1.0,0.0,0,0.09,0.372,0,3.094
1.45,1.0,0,3.0,0.0,0,1.0,0.0,0,0.092,0.373,0,3.059
1.47,1.0,0,3.0,0.0,0,1.0,0.0,0,0.091,0.373,0,3.021
1.49,1.0,0,3.0,0.0,0,1.0,0.0,0,0.094,0.375,0,2.882
1.51,1.0,0,3.0,0.0,0,1.0,0.0,0,0.095,0.377,0,2.877
1.53,1.0,0,3.0,0.0,0,0.5,0.0,0,0.09,0.37,0,2.885
1.55,1.0,0,3.0,0.0,0,0.0,0.0,0,0.096,0.377,0,2.837
1.57,1.0,0,3.0,0.0,0,0.0,0.0,0,0.091,0.372,0,2.698
1.59,1.0,0,3.0,0.0,0,0.0,0.0,0,0.092,0.376,0,2.632
1.61,1.0,0,3.0,0.0,0,0.0,0.0,0,0.093,0.375,0,2.685
1.61,1.0,0,3.0,0.0,0,0.0,0.0,0,0.094,0.378,0,2.664
1.63,1.0,0,2.5,0.0,0,0.0,0.0,0,0.091,0.373,0,2.624
1.65,0.0,0,2.0,0.0,0,0.0,0.0,0,0.095,0.372,0,2.518
1.67,0.0,0,1.5,0.0,0,0.0,0.0,0,0.092,0.374,0,2.5
1.69,0.0,0,1.5,0.0,0,0.0,0.0,0,0.093,0.372,0,2.581
1.71,0.0,0,1.5,0.0,0,0.0,0.0,0,0.096,0.373,0,2.502
1.73,0.0,0,1.5,0.0,0,0.0,0.0,0,0.091,0.374,0,2.435
1.75,0.0,0,1.5,0.0,0,0.0,0.0,0,0.096,0.376,0,2.421
1.77,0.0,0,1.5,0.0,0,0.0,0.0,0,0.089,0.373,0,2.362
1.79,0.0,0,1.5,0.0,0,0.0,0.0,0,0.094,0.375,0,2.289
1.81,0.0,0,1.5,0.0,0,0.0,0.0,0,0.091,0.37,0,2.328
1.81,0.0,0,1.5,0.0,0,0.0,0.0,0,0.095,0.372,0,2.342
1.83,0.0,0,1.5,0.0,0,0.0,0.0,0,0.09,0.375,0,2.362
1.85,0.0,0,1.5,0.0,0,0.0,0.0,0,0.09,0.37,0,2.318
1.87,0.0,0,1.0,0.0,0,0.0,0.0,0,0.093,0.371,0,2.273
1.89,0.0,0,1.0,0.0,0,0.0,0.0,0,0.092,0.374,0,2.246
1.91,0.0,0,1.0,0.0,0,0.0,0.0,0,0.092,0.372,0,2.228
1.93,0.0,0,1.0,0.0,0,0.0,0.0,0,0.09,0.378,0,2.229
1.95,0.0,0,1.0,0.0,0,0.0,0.0,0,0.091,0.373,0,2.176
1.97,0.0,0,1.0,0.0,0,0.0,0.0,0,0.089,0.368,0,2.168
1.99,0.0,0,1.0,0.0,0,0.0,0.0,0,0.091,0.372,0,2.189
2.01,0.0,0,1.0,0.0,0,0.0,0.0,0,0.091,0.366,0,2.146
2.03,0.0,0,1.0,0.0,0,0.0,0.0,0,0.097,0.377,0,2.178
