epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.005,93.5,0,96.5,95.5,96.5,0,0.0,0,0.042,0.361,0.388,0
0.005,93.5,0,96.5,95.5,96.5,0,0.0,0,0.045,0.36,0.388,0
0.009,77.0,0,95.0,94.0,95.0,0,0.0,0,0.044,0.367,0.372,0
0.013,51.5,0,94.5,81.0,94.5,0,0.0,0,0.043,0.376,1.027,0
0.017,33.5,0,93.0,59.0,92.5,0,0.0,0,0.043,0.377,3.492,0
0.021,18.0,0,89.5,36.0,89.0,0,0.0,0,0.045,0.376,8.681,0
0.025,6.0,0,85.0,21.5,82.0,0,0.0,0,0.043,0.38,18.953,0
0.029,3.0,0,75.5,7.000000000000001,67.0,0,0.0,0,0.044,0.379,22.557,0
0.033,2.0,0,69.0,2.5,56.49999999999999,0,0.0,0,0.044,0.378,31.894,0
0.037,1.0,0,61.0,2.0,42.5,0,0.0,0,0.045,0.379,36.313,0
0.041,1.0,0,51.5,1.0,32.5,0,0.0,0,0.043,0.373,35.271,0
0.045,0.0,0,47.0,0.0,24.5,0,0.0,0,0.044,0.372,35.417,0
0.049,0.0,0,38.5,0.0,16.5,0,0.0,0,0.044,0.381,35.024,0
0.053,0.0,0,33.0,0.0,8.5,0,0.0,0,0.043,0.38,32.626,0
0.057,0.0,0,27.500000000000004,0.0,4.0,0,0.0,0,0.042,0.375,29.151,0
0.061,0.0,0,22.5,0.0,2.5,0,0.0,0,0.041,0.37,25.204,0
0.065,0.0,0,18.5,0.0,1.5,0,0.0,0,0.043,0.379,19.756,0
0.069,0.0,0,13.5,0.0,1.0,0,0.0,0,0.043,0.385,12.841,0
0.073,0.0,0,8.0,0.0,1.0,0,0.0,0,0.044,0.381,7.627,0
0.077,0.0,0,6.0,0.0,0.5,0,0.0,0,0.042,0.377,5.433,0
0.081,0.0,0,4.0,0.0,0.0,0,0.0,0,0.042,0.375,4.835,0
0.085,0.0,0,3.0,0.0,0.0,0,0.0,0,0.042,0.371,3.64,0
0.089,0.0,0,3.0,0.0,0.0,0,0.0,0,0.043,0.375,3.644,0
0.093,0.0,0,3.0,0.0,0.0,0,0.0,0,0.044,0.379,3.033,0
0.097,0.0,0,2.0,0.0,0.0,0,0.0,0,0.042,0.381,1.827,0
0.101,0.0,0,1.5,0.0,0.0,0,0.0,0,0.042,0.378,1.823,0
0.105,0.0,0,1.5,0.0,0.0,0,0.0,0,0.041,0.373,1.831,0
0.105,0.0,0,1.5,0.0,0.0,0,0.0,0,0.043,0.372,1.822,0
0.109,0.0,0,1.5,0.0,0.0,0,0.0,0,0.043,0.374,1.227,0
0.113,0.0,0,1.0,0.0,0.0,0,0.0,0,0.041,0.371,1.218,0
0.117,0.0,0,1.0,0.0,0.0,0,0.0,0,0.042,0.374,1.226,0
0.121,0.0,0,1.0,0.0,0.0,0,0.0,0,0.042,0.376,1.222,0
0.125,0.0,0,1.0,0.0,0.0,0,0.0,0,0.042,0.374,0.616,0
0.129,0.0,0,0.5,0.0,0.0,0,0.0,0,0.041,0.37,0.617,0
0.133,0.0,0,0.5,0.0,0.0,0,0.0,0,0.042,0.374,0.015,0
0.137,0.0,0,0.5,0.0,0.0,0,0.0,0,0.043,0.375,0.014,0
0.141,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.145,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.149,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.153,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.157,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.161,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.165,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.169,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.173,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.177,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.181,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.185,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.189,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.193,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.197,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.201,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.205,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.378,0.015,0
0.205,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.209,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.213,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.217,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.221,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.225,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.229,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.233,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.237,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.241,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.245,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.249,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.253,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.257,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.261,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.265,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.269,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.273,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.277,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.281,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.285,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.289,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.293,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.297,0,0,0.0,0,0,0,0,0,0.001,0,0,0
0.305,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.371,0.015,0
