epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0,97.5,0,97.5,97.5,0,97.5,0.0,0,0.085,0.021,0,1.161
0.2,26.0,0,95.0,75.5,0,87.0,0.0,0,0.087,0.149,0,1.295
0.41,0.5,0,86.0,6.5,0,53.0,0.0,0,0.086,0.15,0,1.603
0.61,0.0,0,72.0,0.5,0,18.0,0.0,0,0.089,0.151,0,1.874
0.81,0.0,0,48.0,0.0,0,2.5,0.0,0,0.09,0.151,0,2.069
1.0,0.0,0,31.0,0.0,0,0.5,0.0,0,0.088,0.149,0,2.088
1.21,0.0,0,16.5,0.0,0,0.5,0.0,0,0.085,0.147,0,2.066
1.4,0.0,0,7.000000000000001,0.0,0,0.0,0.0,0,0.085,0.15,0,2.154
1.61,0.0,0,2.5,0.0,0,0.0,0.0,0,0.084,0.15,0,2.072
1.81,0.0,0,1.0,0.0,0,0.0,0.0,0,0.086,0.149,0,2.011
