epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.005,27.0,0,97.0,97.0,97.0,0,0.0,0,0.035,0.153,0.19,0
0.005,27.0,0,97.0,97.0,97.0,0,0.0,0,0.035,0.155,0.191,0
0.009,0.5,0,96.5,94.5,96.5,0,0.0,0,0.035,0.154,0.262,0
0.013,0.0,0,95.0,86.0,94.5,0,0.0,0,0.035,0.154,0.469,0
0.017,0.0,0,92.5,64.5,92.5,0,0.0,0,0.035,0.152,1.557,0
0.021,0.0,0,88.0,44.5,86.5,0,0.0,0,0.035,0.154,4.349,0
0.025,0.0,0,85.5,25.0,82.5,0,0.0,0,0.036,0.154,11.845,0
0.029,0.0,0,82.5,12.0,68.5,0,0.0,0,0.036,0.155,25.906,0
0.033,0.0,0,77.0,4.5,54.0,0,0.0,0,0.036,0.152,37.922,0
0.037,0.0,0,69.0,1.0,40.0,0,0.0,0,0.035,0.152,47.51,0
0.041,0.0,0,64.0,0.5,26.0,0,0.0,0,0.035,0.15,52.466,0
0.045,0.0,0,56.99999999999999,0.5,15.0,0,0.0,0,0.036,0.153,51.195,0
0.049,0.0,0,48.5,0.0,8.5,0,0.0,0,0.036,0.151,48.755,0
0.053,0.0,0,41.0,0.0,3.0,0,0.0,0,0.036,0.153,45.977,0
0.057,0.0,0,36.5,0.0,1.5,0,0.0,0,0.036,0.151,40.197,0
0.061,0.0,0,31.5,0.0,0.5,0,0.0,0,0.034,0.151,33.784,0
0.065,0.0,0,25.5,0.0,0.5,0,0.0,0,0.035,0.151,27.34,0
0.105,0.0,0,1.0,0.0,0.0,0,0.0,0,0.036,0.151,0.619,0
0.205,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.151,0.017,0
0.305,0.0,0,0.0,0.0,0.0,0,0.0,0,0.001,0.153,0.016,0
